time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-01T07:12:36.190Z,18.0206,-66.7601,16,3.39,md,19,140,0.1889,0.24,pr,pr2024275000,2024-10-01T07:48:00.920Z,"1 km ENE of Magas Arriba, Puerto Rico",earthquake,0.6,0.88,0.1,15,reviewed,pr,pr
2024-10-01T07:10:38.587Z,0.4903,122.2921,121.587,5,mb,63,59,1.596,0.85,us,us7000nhe1,2024-10-01T07:28:26.040Z,"85 km W of Gorontalo, Indonesia",earthquake,7.02,5.419,0.069,68,reviewed,us,us
2024-10-01T05:52:49.980Z,31.4537,132.406,15.014,4.6,mb,28,129,1.67,0.65,us,us7000nhdq,2024-10-01T06:53:42.040Z,"100 km E of Nichinan, Japan",earthquake,6.55,4.752,0.112,24,reviewed,us,us
2024-10-01T05:01:57.237Z,-20.1953,-70.6982,21.903,5.3,mww,77,109,0.538,0.94,us,us7000nhdc,2024-10-01T06:31:49.991Z,"56 km W of Puerto, Chile",earthquake,3.91,2.814,0.066,22,reviewed,us,us
2024-10-01T04:49:40.385Z,-41.5796,174.3163,19.569,4.6,mb,31,65,0.398,0.93,us,us7000nhda,2024-10-01T07:06:08.124Z,"31 km E of Witherlea, New Zealand",earthquake,3.53,4.524,0.141,15,reviewed,us,us
2024-10-01T02:18:21.746Z,1.0767,98.8638,101.066,5,mb,52,93,1.308,1.15,us,us7000nhcp,2024-10-01T02:30:40.040Z,"56 km SW of Padangsidempuan, Indonesia",earthquake,6.38,7.288,0.103,30,reviewed,us,us
2024-10-01T02:16:24.984Z,51.0198,-176.1399,10.6,3.4,ml,,,,0.55,ak,ak024cmu2sio,2024-10-01T02:42:46.942Z,"101 km SSE of Adak, Alaska",earthquake,,0.7,,,reviewed,ak,ak
2024-10-01T01:33:38.889Z,-5.0945,152.4688,35,5,mb,34,51,6.787,0.7,us,us7000nhci,2024-10-01T01:54:30.040Z,"85 km SSE of Kokopo, Papua New Guinea",earthquake,13.69,1.884,0.069,68,reviewed,us,us
2024-10-01T00:54:14.421Z,31.607,-103.962,8.7274,3.4,ml,16,58,0,0.1,tx,tx2024tgrx,2024-10-01T02:59:09.547Z,"36 km WSW of Mentone, Texas",earthquake,0.5204415746341337,0.4724878463240754,0.2,24,reviewed,tx,tx
2024-09-30T23:38:49.801Z,52.7911,160.2161,39.467,4.4,mb,39,160,0.977,0.97,us,us7000nhby,2024-09-30T23:57:56.040Z,"111 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,9.52,8.821,0.078,47,reviewed,us,us
2024-09-30T22:04:27.610Z,17.9701666666667,-66.9975,6.27,2.6,md,18,170,0.04448,0.17,pr,pr71461443,2024-09-30T22:33:32.100Z,"5 km E of La Parguera, Puerto Rico",earthquake,0.39,0.26,0.233093077071127,6,reviewed,pr,pr
2024-09-30T17:38:33.888Z,13.2511,-90.909,41.195,4.6,mb,63,143,1.274,0.74,us,us7000nha6,2024-09-30T20:07:55.040Z,"75 km S of Puerto San José, Guatemala",earthquake,7.66,7.322,0.044,155,reviewed,us,us
2024-09-30T15:25:17.084Z,-5.7105,131.2208,79.258,4.6,mb,28,88,1.764,0.83,us,us7000nh91,2024-09-30T18:53:29.040Z,"169 km W of Tual, Indonesia",earthquake,7.88,4.64,0.122,20,reviewed,us,us
2024-09-30T15:19:27.825Z,52.6976,160.1777,53.094,4.4,mb,46,120,0.982,0.74,us,us7000nh90,2024-09-30T17:06:05.040Z,"112 km ESE of Petropavlovsk-Kamchatsky, Russia",earthquake,8.06,6.106,0.083,42,reviewed,us,us
2024-09-30T15:15:49.348Z,48.485,-116.4545,10.305,2.7,ml,37,104,0.497,0.63,us,us7000nh8y,2024-10-01T02:15:10.182Z,"19 km NNE of Kootenai, Idaho",earthquake,2.13,8.405,0.053,46,reviewed,us,us
2024-09-30T12:21:58.647Z,53.0351,160.2623,31.539,5.9,mww,110,76,0.974,1.61,us,us7000nh82,2024-09-30T17:53:58.040Z,"109 km E of Petropavlovsk-Kamchatsky, Russia",earthquake,7.52,3.556,0.041,56,reviewed,us,us
2024-09-30T11:14:21.623Z,-20.1453,-70.5425,35,4.1,ml,13,193,0.406,0.88,us,us7000nh7u,2024-10-01T05:36:52.395Z,"41 km W of Puerto, Chile",earthquake,5.17,1.976,,,reviewed,us,guc
2024-09-30T10:46:46.710Z,62.9672,-150.5342,87.3,2.6,ml,,,,0.68,ak,ak024clbhdvd,2024-09-30T10:48:46.754Z,"53 km NNE of Petersville, Alaska",earthquake,,0.7,,,automatic,ak,ak
2024-09-30T06:42:22.218Z,-25.1557,-70.5533,35,4.2,mb,23,138,0.873,0.74,us,us7000nh6t,2024-09-30T10:27:52.040Z,"28 km NNW of Taltal, Chile",earthquake,4.46,1.969,0.167,10,reviewed,us,us
2024-09-30T05:59:45.560Z,17.427,-67.883,36.63,3.08,md,6,251,0.9357,0.08,pr,pr71461388,2024-09-30T06:46:49.580Z,"95 km SW of Pole Ojea, Puerto Rico",earthquake,1.94,8.35,0.0420722031137759,4,reviewed,pr,pr
2024-09-30T02:44:33.591Z,9.1226,40.0768,10,4.5,mb,28,110,3.627,0.46,us,us7000nh6y,2024-10-01T03:42:57.040Z,"18 km NNW of Āwash, Ethiopia",earthquake,12.31,1.944,0.118,21,reviewed,us,us
2024-09-30T01:47:59.283Z,13.2365,-91.0562,35,4.4,mb,51,149,1.397,0.47,us,us7000nh62,2024-10-01T03:02:13.403Z,"80 km SSW of Puerto San José, Guatemala",earthquake,6.18,1.937,0.053,105,reviewed,us,us
2024-09-30T00:48:58.740Z,18.8215,-66.075,30.42,3.14,md,19,222,0.5505,0.16,pr,pr71461358,2024-09-30T01:06:28.490Z,"39 km N of San Juan, Puerto Rico",earthquake,0.69,3.65,0.0295336735781939,8,reviewed,pr,pr
2024-09-29T21:29:48.942Z,58.9719,-154.2401,110.7,3.8,ml,,,,0.55,ak,ak024cjue5zc,2024-09-30T04:31:05.646Z,"60 km SSE of Kokhanok, Alaska",earthquake,,0.3,,,reviewed,ak,ak
2024-09-29T21:13:38.370Z,47.5915,-122.578,30.87,2.59,ml,15,75,0.03979,0.13,uw,uw62042547,2024-09-30T07:45:05.424Z,"1 km ENE of Enetai, Washington",earthquake,0.62,0.71,0.14350268958863976,14,reviewed,uw,uw
2024-09-29T20:36:45.340Z,18.0203333333333,-66.757,15.82,3.06,md,38,131,0.03286,0.21,pr,pr71461338,2024-09-29T21:16:38.040Z,"1 km ENE of Magas Arriba, Puerto Rico",earthquake,0.31,0.46,0.135493178553969,17,reviewed,pr,pr
2024-09-29T20:02:26.489Z,-20.7721,-67.3645,194.228,4.4,mb,45,66,1.791,0.72,us,us7000nh55,2024-09-29T20:26:42.040Z,"66 km WSW of Uyuni, Bolivia",earthquake,4.47,8.02,0.067,65,reviewed,us,us
2024-09-29T19:40:55.531Z,18.8075,145.2581,236.976,4.3,mb,59,124,3.583,0.52,us,us7000nh53,2024-09-29T20:01:14.040Z,"Pagan region, Northern Mariana Islands",earthquake,6.84,7.5,0.073,53,reviewed,us,us
2024-09-29T18:48:13.512Z,69.1549,-144.4355,6.9,3,ml,,,,0.78,ak,ak024cjspv1v,2024-09-29T18:56:37.040Z,"113 km SSW of Kaktovik, Alaska",earthquake,,1.1,,,automatic,ak,ak
2024-09-29T17:50:16.198Z,36.4983,70.7965,187.853,4.4,mb,49,130,2.582,0.66,us,us7000nh4q,2024-09-29T18:05:52.040Z,"40 km S of Jurm, Afghanistan",earthquake,5.95,8.539,0.087,38,reviewed,us,us
2024-09-29T17:29:41.790Z,18.9036666666667,-67.403,3.81,3.16,md,10,229,0.5145,0.12,pr,pr71461323,2024-09-29T17:43:24.750Z,"55 km NW of San Antonio, Puerto Rico",earthquake,0.76,0.72,0.123669333493899,8,reviewed,pr,pr
2024-09-29T16:59:13.930Z,54.7133333333333,-163.463333333333,1.8,2.57,ml,13,180,0.1453,0.18,av,av93291623,2024-09-30T00:18:04.290Z,"16 km SSW of False Pass, Alaska",earthquake,0.68,1.41,0.207181185325493,13,reviewed,av,av
